Название функции;Назначение;Вход;Выход;

create_enumeration;Создание нового перечисления;name, description;новый объект перечисления
list_enumerations;Получение списка всех перечислений;отсутствует;список перечислений
get_enumeration;Получение одного перечисления по идентификатору;enumeration_id;объект перечисления
update_enumeration;Изменение названия и описания существующего перечисления;enumeration_id, name, description;обновленный объект перечисления
delete_enumeration;Удаление перечисления;enumeration_id;подтверждение удаления
list_enumeration_values;Получение всех значений выбранного перечисления;enum_id;список значений перечисления
create_enumeration_value;Добавление нового значения в перечисление;enum_id, value, priority, description;новый объект значения перечисления
get_enumeration_value;Получение одного значения перечисления по идентификатору;value_id;объект значения перечисления
update_enumeration_value;Изменение значения, приоритета и описания элемента перечисления;value_id, value, priority, description;обновленный объект значения перечисления
delete_enumeration_value;Удаление значения перечисления;value_id;подтверждение удаления
_enumeration_exists_with_name;Проверка существования перечисления с указанным именем;name, exclude_id;логическое значение true/false
_enumeration_value_exists;Проверка существования значения внутри конкретного перечисления;enum_id, value, exclude_id;логическое значение true/false
_get_enumeration_row;Получение строки перечисления из таблицы enumerations;session, enumeration_id;строка БД или None
_get_enumeration_value_row;Получение строки значения перечисления из таблицы enumeration_values;session, value_id;строка БД или None
_row_to_enumeration_dict;Преобразование строки перечисления в словарь для API;row;словарь с данными перечисления
_row_to_enumeration_value_dict;Преобразование строки значения перечисления в словарь для API
